InstanceId,InstanceName,AvailabilityZone,VolumeId,Encrypted,SecurityGroups
subnet-0bf1dc0dc97b8c95f,pla-core DEV Tenant VPC Private Subnet B,vpc-00cb6ffafa96d62b6,us-gov-west-1b,rtb-07faac9102d076426,10.10.112.0/20,tgw-080538cc95ca94e74
subnet-0bf1dc0dc97b8c95f,pla-core DEV Tenant VPC Private Subnet B,vpc-00cb6ffafa96d62b6,us-gov-west-1b,rtb-07faac9102d076426,10.162.16.0/20,local
subnet-0bf1dc0dc97b8c95f,pla-core DEV Tenant VPC Private Subnet B,vpc-00cb6ffafa96d62b6,us-gov-west-1b,rtb-07faac9102d076426,N/A,vpce-078c5864eaba38d83
subnet-061defb35201f0998,pla-core DEV Tenant VPC DMZ Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-014eda28c97c958c0,10.254.0.0/23,pcx-00ebefe90012dec2c
subnet-061defb35201f0998,pla-core DEV Tenant VPC DMZ Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-014eda28c97c958c0,10.10.96.0/20,tgw-080538cc95ca94e74
subnet-061defb35201f0998,pla-core DEV Tenant VPC DMZ Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-014eda28c97c958c0,10.10.112.0/20,tgw-080538cc95ca94e74
subnet-061defb35201f0998,pla-core DEV Tenant VPC DMZ Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-014eda28c97c958c0,10.162.16.0/20,local
subnet-061defb35201f0998,pla-core DEV Tenant VPC DMZ Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-014eda28c97c958c0,N/A,vpce-078c5864eaba38d83
subnet-0feead4b94ed43b3c,pla-core DEV Tenant VPC DMZ Subnet B,vpc-00cb6ffafa96d62b6,us-gov-west-1b,rtb-014eda28c97c958c0,10.254.0.0/23,pcx-00ebefe90012dec2c
subnet-0feead4b94ed43b3c,pla-core DEV Tenant VPC DMZ Subnet B,vpc-00cb6ffafa96d62b6,us-gov-west-1b,rtb-014eda28c97c958c0,10.10.96.0/20,tgw-080538cc95ca94e74
subnet-0feead4b94ed43b3c,pla-core DEV Tenant VPC DMZ Subnet B,vpc-00cb6ffafa96d62b6,us-gov-west-1b,rtb-014eda28c97c958c0,10.10.112.0/20,tgw-080538cc95ca94e74
subnet-0feead4b94ed43b3c,pla-core DEV Tenant VPC DMZ Subnet B,vpc-00cb6ffafa96d62b6,us-gov-west-1b,rtb-014eda28c97c958c0,10.162.16.0/20,local
subnet-0feead4b94ed43b3c,pla-core DEV Tenant VPC DMZ Subnet B,vpc-00cb6ffafa96d62b6,us-gov-west-1b,rtb-014eda28c97c958c0,N/A,vpce-078c5864eaba38d83
subnet-0f21567f419c121e5,pla-core DEV Tenant VPC Private Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-07faac9102d076426,10.161.64.0/23,tgw-0a361e67607936eac
subnet-0f21567f419c121e5,pla-core DEV Tenant VPC Private Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-07faac9102d076426,10.161.66.0/23,tgw-0a361e67607936eac
subnet-0f21567f419c121e5,pla-core DEV Tenant VPC Private Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-07faac9102d076426,10.161.68.0/23,tgw-0a361e67607936eac
subnet-0f21567f419c121e5,pla-core DEV Tenant VPC Private Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-07faac9102d076426,10.161.80.0/23,tgw-0a361e67607936eac
subnet-0f21567f419c121e5,pla-core DEV Tenant VPC Private Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-07faac9102d076426,10.161.82.0/23,tgw-0a361e67607936eac
